query,Gene_set,Term,Overlap,P-value,Adjusted P-value,Old P-value,Old Adjusted P-value,Odds Ratio,Combined Score,Genes
N,Reactome_2022,Protein Folding R-HSA-391251,2/96,0.0022985611577693,0.0076860029989285,0,0,32.55482815057283,197.78594479007495,CSNK2A2;CSNK2B
N,Reactome_2022,L1CAM Interactions R-HSA-373760,2/99,0.0024420739189198,0.0076860029989285,0,0,31.54321966693101,189.7295527731584,CSNK2A2;CSNK2B
N,Reactome_2022,SARS-CoV Infections R-HSA-9679506,3/369,0.002403489985599,0.0076860029989285,0,0,13.400956284153006,80.81893524932346,LARP1;G3BP1;G3BP2
N,Reactome_2022,KEAP1-NFE2L2 Pathway R-HSA-9755511,2/100,0.0024908343052083,0.0076860029989285,0,0,31.21978021978022,187.16687708215863,CSNK2A2;CSNK2B
N,KEGG_2021_Human,Measles,2/139,0.0047454566771111,0.0079090944618518,0,0,22.288601909039865,119.25667139525876,CSNK2A2;CSNK2B
N,GO_Biological_Process_2023,Positive Regulation Of Viral Process (GO:0048524),2/41,0.0004232945005062969,0.0086352078103284,0,0,78.68244575936883,611.161365521744,LARP1;PABPC1
N,GO_Biological_Process_2023,Negative Regulation Of mRNA Catabolic Process (GO:1902373),2/41,0.0004232945005062969,0.0086352078103284,0,0,78.68244575936883,611.161365521744,LARP1;PABPC1
N,GO_Biological_Process_2023,RNA Stabilization (GO:0043489),2/37,0.00034439345847537867,0.0086352078103284,0,0,87.6923076923077,699.2344145157014,LARP1;PABPC1
N,GO_Biological_Process_2023,mRNA Destabilization (GO:0061157),2/43,0.000465736813527105,0.0086373009054117,0,0,74.83677298311444,574.139479895918,UPF1;MOV10
N,Reactome_2022,L13a-mediated Translational Silencing Of Ceruloplasmin Expression R-HSA-156827,2/108,0.0028974379576251,0.0086923138728755,0,0,28.851959361393323,168.60878457384547,RPL36;PABPC1
N,GO_Biological_Process_2023,Regulation Of mRNA Catabolic Process (GO:0061013),2/46,0.0005331252155032125,0.0090631286635546,0,0,69.72377622377623,525.490965769041,UPF1;MOV10
