bait,candidate_gene,n_edges_to_known_preys,max_string_score,connected_to,already_interacts_with_other_baits
Nsp13,CEP170,11,0.984,AKAP9;CDK5RAP2;CEP135;CEP250;CEP350;CNTRL;NIN;NINL;PCNT;PDE4DIP;TBK1,
Nsp13,CNTLN,10,0.969,AKAP9;CDK5RAP2;CEP135;CEP250;CEP350;CEP68;CNTRL;NIN;NINL;PCNT,
Nsp13,HAUS6,10,0.752,AKAP9;CDK5RAP2;CEP135;CEP250;CNTRL;NIN;NINL;PCNT;PRKACA;PRKAR2B,
Nsp13,HAUS2,9,0.737,AKAP9;CDK5RAP2;CEP135;CEP250;CNTRL;NINL;PCNT;PRKACA;PRKAR2B,
Nsp13,HAUS5,9,0.695,AKAP9;CDK5RAP2;CEP135;CEP250;CNTRL;NINL;PCNT;PRKACA;PRKAR2B,
Nsp13,HAUS8,9,0.688,AKAP9;CDK5RAP2;CEP135;CEP250;CNTRL;NINL;PCNT;PRKACA;PRKAR2B,
Nsp13,HAUS7,9,0.596,AKAP9;CDK5RAP2;CEP135;CEP250;CNTRL;NINL;PCNT;PRKACA;PRKAR2B,
Nsp13,HAUS4,9,0.584,AKAP9;CDK5RAP2;CEP135;CEP250;CNTRL;NINL;PCNT;PRKACA;PRKAR2B,
Nsp13,GOLGA5,8,0.923,AKAP9;ERC1;GCC1;GCC2;GOLGA2;GOLGA3;GOLGB1;GORASP1,
Nsp13,FGFR1OP,3,0.977,CEP135;CEP350;CNTRL,
Nsp2,DNAJC13,3,0.618,FKBP15;GIGYF2;WASHC4,
Nsp2,WASHC3,2,0.999,FKBP15;WASHC4,
Nsp2,WASHC5,2,0.999,FKBP15;WASHC4,
Nsp2,WASHC1,2,0.999,FKBP15;WASHC4,
Nsp2,WASHC2C,2,0.999,FKBP15;WASHC4,
Nsp2,GIGYF1,2,0.997,EIF4E2;GIGYF2,
Nsp2,WASHC2A,2,0.988,FKBP15;WASHC4,
Nsp2,ZNF598,2,0.973,EIF4E2;GIGYF2,
Nsp2,CCDC93,2,0.725,FKBP15;WASHC4,
Nsp2,RAMAC,1,0.906,EIF4E2,
Nsp4,TOMM70,6,0.888,DNAJC11;IDE;TIMM10;TIMM10B;TIMM29;TIMM9,Orf9b
Nsp4,TOMM7,5,0.838,DNAJC11;TIMM10;TIMM10B;TIMM29;TIMM9,
Nsp4,TIMM8A,4,0.999,TIMM10;TIMM10B;TIMM29;TIMM9,
Nsp4,TIMM22,4,0.999,TIMM10;TIMM10B;TIMM29;TIMM9,
Nsp4,AGK,4,0.999,TIMM10;TIMM10B;TIMM29;TIMM9,
Nsp4,TIMM17A,4,0.985,TIMM10;TIMM10B;TIMM29;TIMM9,
Nsp4,TIMM23,4,0.972,TIMM10;TIMM10B;TIMM29;TIMM9,
Nsp4,TIMM8B,4,0.972,TIMM10;TIMM10B;TIMM29;TIMM9,Orf10
Nsp4,CPHXL,3,0.431,TIMM10;TIMM10B;TIMM9,
Nsp4,ENSP00000491197,3,0.431,TIMM10;TIMM10B;TIMM9,
Nsp7,SNAP23,10,0.766,ACSL3;RAB10;RAB14;RAB1A;RAB5C;RAB7A;RAB8A;RALA;RHOA;TOR1AIP1,
Nsp7,GDI2,9,0.997,RAB10;RAB14;RAB18;RAB1A;RAB2A;RAB5C;RAB7A;RAB8A;RHOA,
Nsp7,GDI1,9,0.996,RAB10;RAB14;RAB18;RAB1A;RAB2A;RAB5C;RAB7A;RAB8A;RHOA,
Nsp7,CHM,8,0.949,RAB10;RAB14;RAB18;RAB1A;RAB2A;RAB5C;RAB7A;RAB8A,
Nsp7,RABGGTA,8,0.931,RAB10;RAB14;RAB18;RAB1A;RAB2A;RAB5C;RAB7A;RAB8A,
Nsp7,RABGGTB,8,0.931,RAB10;RAB14;RAB18;RAB1A;RAB2A;RAB5C;RAB7A;RAB8A,
Nsp7,CHML,8,0.917,RAB10;RAB14;RAB18;RAB1A;RAB2A;RAB5C;RAB7A;RAB8A,
Nsp7,RAB6A,8,0.878,RAB10;RAB14;RAB18;RAB1A;RAB2A;RAB7A;RAB8A;RALA,
